Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
19;;Options 2 - 1;;;;;;3;;;;;;Jeg kom meg ut i vannet!;;Det tok sin tid.;20;;;Kan du se blomsten?;21;;;Se på deg! Du svømmer!;22;;;Så bra! Jeg er stolt av deg!;23;;;;I'm in the water!;Took you long enough.;Can you see the flower?;Look at you! You're swimming!;That's great! I'm proud of you!;;;;;;;;;;;;;;;;;;;;;;;;
20;;x;;;;;;6;;;;;;Det tok den tiden det trengte å ta!;24;;;;;;;;;;;;;;;;;;It took the time it needed to take!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;x;;;;;;6;;;;;;Ehh... Nei, jeg ser den ikke.;24;;;;;;;;;;;;;;;;;;Ehh… No, I don't see it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;x;;;;;;2;;;;;;Jeg svømmer!;25;;;;;;;;;;;;;;;;;;I'm swimming!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;x;;;;;;2;;;;;;Takk! Jeg hadde ikke klart det uten deg!;25;;;;;;;;;;;;;;;;;;Thanks! I couldn't have done it without you!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;Options 2 - 2;;;;;;5;;;;;;Men jeg vet at blomsten er her et sted! Den må være det!;;Så finn den!;28;;;Blomsten kommer ikke til å gjøre deg lykkelig.;29;;;Glem blomsten! Du svømmer!;30;;;;;;;;But I know the flower is here somewhere! It must be!;Then find it!;The flower isn't gonna make you happy.;Forget the flower! You're swimming!;;;;;;;;;;;;;;;;;;;;;;;;;
25;;x;;;;;;7;;;;;;Aah! Hjelp! Vannet drar meg nedover! Jeg tror jeg følte noe i vannet! Jeg klarer det ikke likevel! Jeg drukner! Hjelp meg!;26;;;;;;;;;;;;;;;;;;Aah! Help! The water's pulling me down! I think I felt something in the water! I can't do this! Help me!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;x;;;;;;5;;;;;;Nei, vent... Det går bra... Jeg klarer det…;27;;;;;;;;;;;;;;;;;;No, wait… it's okay… I got it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;x;;;;;;4;;;;;;Takk for at du har hjulpet meg å komme hit!;34;;;;;;;;;;;;;;;;;;Thanks for helping me get here!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;x;;;;;;10;;;;;;Jeg har gått gjennom tykt og tynt for å finne den, og jeg skal finne den! Ingenting er viktigere!;33;;;;;;;;;;;;;;;;;;I've been through thick and thin to find it, and I will find it! Nothing is more important!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;Options 2 - 3;;;;;;10;;;;;;Jo, den vil det! Blomsten vil være et symbol på alt jeg har gått gjennom for å finne den!;;Ja, du har rett.;33;;;Det du har overkommet er mer verdifullt enn et symbol.;32;;;;;;;;;;;;Yes it will! The flower will be a symbol for everything I've been through!;Yeah, you're right.;What you have overcome is more valuable than a symbol.;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;x;;;;;;5;;;;;;Ehm... Hehe... Ja... Jeg svømmer!;31;;;;;;;;;;;;;;;;;;Ehm… Hehe… Yeah… I'm swimming!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;x;;;;;;2;;;;;;Jeg overkom frykten min! Se på meg! Jeg er ute i vannet! Jeg svømmer!;34;;;;;;;;;;;;;;;;;;I overcame my fear! Look at me! I'm in the water! I'm swimming!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;x;;;;;;5;;;;;;Ja, du har vel rett... Men jeg må fullføre dette kapittelet.;34;;;;;;;;;;;;;;;;;;Yeah, I guess you're right… But I have to finish this chapter.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;Ending 2 - 1;;;x;;;5;;;;Floriel 7;;Hvis den blomsten ikke gjør meg lykkelig etter alt jeg har vært gjennom for å finne den..!;;;;;;;;;;;;;;;;;;;If that flower doesn't make me happy after everything I've been through to find it..!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;Ending 2 - 2;;;x;;;2;;;;Floriel 8;;Hvis jeg kan klare dette, så kan jeg kan klare hva som helst! Jeg kommer til å finne blomsten!;;;;;;;;;;;;;;;;;;;If I can do this, I can do anything! I'm gonna find the flower!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
