Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
44;;x;;;;;;4;;;;;;Jeg skulle gjerne hatt med meg en bit av vannet overalt hvor jeg går. Bare en liten bit... Eller kanskje jeg kunne vært en del av det...;45;;;;;;;;;;;;;;;;;;I would love to bring a piece of the water with me everywhere I go. Just a little piece… Or maybe I could be a part of it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;Options 2 - 2;;;;;;5;;;;;;Men jeg har aldri lært meg å svømme.;;Det trenger du sikkert ikke.;46;;;Det kan hende du må det for å finne blomsten.;47;;;Det er aldri for sent å lære.;49;;;Vi kan lære sammen.;50;;;;But I've never learned to swim.;You probably don't need to.;You might have to, to find the flower.;It's never too late to learn.;We can learn together.;;;;;;;;;;;;;;;;;;;;;;;;
46;;x;;;;;;5;;;;;;Nei, jeg gjør vel ikke det...;47;;;;;;;;;;;;;;;;;;No, probably not…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;x;;;;;;5;;;;;;Åja, blomsten! Den trenger jeg jo! … For å fullføre kransen min...;48;;;;;;;;;;;;;;;;;;Oh right, the flower! I need to find it! … To finish my wreath…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;Options 2 - 3;;;;;;5;;;;;;Jeg håper ikke den er i vannet! Kan du lete i vannet for meg? Så kan jeg fortsette å lete på land.;;Så klart! Du kan bare bli på land.;54;;;Den er sikkert ikke i vannet.;55;;;Dette er en god mulighet til å lære å svømme.;56;;;;;;;;I hope it's not in the water! Can you search the water for me? And then I can keep searching on land.;Of course! Just keep searching on land!;It's probably not in the water.;This is a good opportunity to learn to swim.;;;;;;;;;;;;;;;;;;;;;;;;;
49;;x;;;;;;5;;;;;;Heh. Nei, det er vel ikke det...;51;;;;;;;;;;;;;;;;;;Heh. No, I guess not…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;x;;;;;;5;;;;;;Takk for det...;51;;;;;;;;;;;;;;;;;;Thanks…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;x;;;;;;5;;;;;;Men jeg tror ikke jeg trenger å...;52;;;;;;;;;;;;;;;;;;But I don't think I need to…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;x;;;;;;5;;;;;;Åja, blomsten! Den er kanskje i vannet! Den trenger jeg jo! … For å fullføre kransen min…;53;;;;;;;;;;;;;;;;;;Oh right, the flower! It may be in the water! I need to find it! … To finish my wreath…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;x;;;;;;5;;;;;;Kanskje jeg kan gå i vannet for å lete etter den...;58;;;;;;;;;;;;;;;;;;Maybe I can go into the water to look for it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;x;;;;;;3;;;;;;Takk! Du er best!;57;;;;;;;;;;;;;;;;;;Tanks! You're the best!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;x;;;;;;5;;;;;;Nei, den er sikkert ikke det.;57;;;;;;;;;;;;;;;;;;No, probably not.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;x;;;;;;5;;;;;;Ja, det er vel egentlig det.;58;;;;;;;;;;;;;;;;;;Yeah, I guess so.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;Ending 2 - 1;;;x;;;4;;;;Floriel 3;;Da fortsetter jeg bare å lete på land!;;;;;;;;;;;;;;;;;;;I'll just keep searching on land!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;Ending 2 - 2;;;x;;;5;;;;Floriel 4;;Kanskje senere en gang... Kanskje...;;;;;;;;;;;;;;;;;;;Maybe later some time… Maybe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
