Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
11;;Options 1 - 3;;;;;;7;;;;;;Men hva om jeg setter meg fast... Hva om jeg faller ned en foss... Hva om jeg aldri klarer å lære...;;Du må ikke, hvis du ikke vil.;14;;;Slutt å klage! Du må bare gjøre det!;12;;;Da kan du prøve på nytt.;15;;;;;;;;But what if I get stuck… What if I fall down a waterfall… What if I never learn?;You don't have to, if you don't want to.;Stop whining! You just have to do it!;Then you can try again.;;;;;;;;;;;;;;;;;;;;;;;;;
12;;x;;;;;;10;;;;;;Ikke stress meg! Jeg gjør det når jeg er klar!;16;;;;;;;;;;;;;;;;;;Don't stress me! I'll do it when I'm ready!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;x;;;;;;5;;;;;;Takk... Jeg setter pris på at du sier det.;17;;;;;;;;;;;;;;;;;;Thanks… I appreciate that.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;5;;;;;;Jo, det må jeg! Jeg må finne blomsten!;16;;;;;;;;;;;;;;;;;;Yes, I do! I have to find the flower!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;x;;;;;;5;;;;;;Ja, du har vel rett...;17;;;;;;;;;;;;;;;;;;Yeah, I guess you're right…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;x;;;;;;7;;;;;;Du kan sikkert svømme opp og ned fossefall allerede... Jeg ligger bare langt etter...;19;;;;;;;;;;;;;;;;;;You can probably swim up and down waterfalls already… I'm just far behind…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;x;;;;;;4;;;;;;Jeg kan klare det! Kanskje jeg til og med kan lære å svømme opp og ned fossefall!;18;;;;;;;;;;;;;;;;;;I can do it! Maybe I can even learn to swim up and down waterfalls!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;x;;;;;;5;;;;;;…La oss ta en ting om gangen...;20;;;;;;;;;;;;;;;;;;…Let's do one thing at a time…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;Ending 1 - 1;;;x;;;1;;;;Floriel 5;;Jeg må vel bare gå ut i vannet...;;;;;;;;;;;;;;;;;;;I guess I'll just have to go into the water…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;Ending 1 - 2;;;x;;;4;;;;Floriel 6;;Takk for hjelpen! Jeg skal klare å gå ut i vannet! ...Snart...;;;;;;;;;;;;;;;;;;;Thanks for the help! I'll go into the water! …Soon…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;Opening 2;;x;;;;4;;;Floriel 4;;;Jeg har bestemt meg! Jeg skal ut i vannet!;22;;;;;;;;;;;;;;;;;;I've decided! I'm going into the water!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;x;;;;;;5;;;;;;Snart... Ikke helt enda... Kanskje jeg bare skal bli på land...;23;;;;;;;;;;;;;;;;;;Soon… Not just yet… Maybe I'll just stay on land…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;x;;;;;;5;;;;;;Neida, jeg skal gjøre det! ...Kanskje...;24;;;;;;;;;;;;;;;;;;No, I'm gonna do it! …Maybe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;x;;;;;;5;;;;;;Å, jeg håper ikke jeg må dykke under vann, eller svømme i et fossefall!;25;;;;;;;;;;;;;;;;;;Oh, I hope I don't have to dive under water, or swim in a waterfall!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;Options 2 - 1;;;;;;7;;;;;; Jeg er så redd! Men jeg må finne blomsten!;;Vil du at jeg skal bli med deg ut i vannet?;26;;;Du kan få det til.;28;;;Slutt å klage! Bare gjør det!;29;;;;;;;;I'm so scared! But I have to find the flower!;Do you want me to join you in the water?;You can do it.;Stop whining! Just do it!;;;;;;;;;;;;;;;;;;;;;;;;;
26;;x;;;;;;5;;;;;;Ja, kanskje det vil hjelpe…;27;;;;;;;;;;;;;;;;;;Yeah, maybe that would help…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;x;;;;;;5;;;;;;Nei, jeg er ikke klar enda!;31;;;;;;;;;;;;;;;;;;No, I'm not ready yet!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;x;;;;;;5;;;;;;Takk... Kanskje jeg kan få det til... Litt senere...;31;;;;;;;;;;;;;;;;;;Thanks… Maybe I can do it… In a bit…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;x;;;;;;10;;;;;;Ikke stress meg! Jeg gjør det når jeg er klar!;30;;;;;;;;;;;;;;;;;;Don't stress me! I'll do it when I'm ready!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;Options 2 - 2;;;;;;1;;;;;;Jeg er så patetisk...;;Slutt å klage! Du må bare gjøre det!;35;;;Ja, det er du.;35;;;Nei, det er du ikke.;32;;;;;;;;I'm so pathetic…;Stop whining! You just have to do it!;Yes, you are.;No, you're not.;;;;;;;;;;;;;;;;;;;;;;;;;
31;;Options 2 - 3;;;;;;5;;;;;;Hva pleier du å gjøre når du er redd?;;Tenk på noe du liker.;34;;;Pust dypt inn og ut, sakte og rolig.;34;;;Jeg er aldri redd.;33;;;;;;;;What do you do when you're scared?;Think about something you like.;Breathe deep, in and out, slow and calm.;I'm never scared.;;;;;;;;;;;;;;;;;;;;;;;;;
32;;x;;;;;;5;;;;;;Takk... Jeg setter pris på at du sier det.;34;;;;;;;;;;;;;;;;;;Thanks… I appreciate that.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;x;;;;;;5;;;;;;Du er så mye mer fryktløs enn meg!;35;;;;;;;;;;;;;;;;;;You're so much more fearless than me!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;x;;;;;;5;;;;;;Okay... Okay... Hvis jeg skal finne blomsten, så må jeg ut i vannet. Jeg kan få det til!;37;;;;;;;;;;;;;;;;;;Okay… Okay… If I'm gonna find the flower, I'll have to go into the water. I can do it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;x;;;;;;7;;;;;;Jeg kommer aldri til å finne blomsten...;36;;;;;;;;;;;;;;;;;;I'm never gonna find the flower…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;Ending 2 - 1;;;x;;;1;;;;Floriel 5;;Jeg må vel bare gå ut i vannet...;;;;;;;;;;;;;;;;;;;I guess I'll just have to go into the water…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;Ending 2 - 2;;;x;;;4;;;;Floriel 6;;Takk for hjelpen! Jeg skal klare å gå ut i vannet! ...Snart...;;;;;;;;;;;;;;;;;;;Thanks for the help! I'll go into the water! …Soon…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
